"categoria","nombre","uuid","display_openmrs","fuente","score","flag","alternativas"
"digestivo","Colelitiasis / cólico biliar","145625AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Colelitiasis","OPENMRS","85","OK",""
"digestivo","Colecistitis aguda","122101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Colecistitis aguda","CATALOGO","100","OK",""
"digestivo","Pancreatitis aguda","149607AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Pancreatitis aguda","CATALOGO","100","OK",""
"digestivo","Hepatitis viral aguda","149471AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hepatitis viral aguda","OPENMRS","100","OK",""
"digestivo","Cirrosis hepática","145091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Cirrosis hepatica","CATALOGO","100","OK",""
"digestivo","Hígado graso no alcohólico","140498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hígado graso","OPENMRS","85","OK",""
"digestivo","Hemorroides","138849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hemorroides","OPENMRS","100","OK","hemorroides (138849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [100] || Hemorroides puerperal (156585AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || hemorroides externas (140888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"digestivo","Fisura anal","122733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","fisura anal","OPENMRS","100","OK",""
"digestivo","Enfermedad diarreica persistente","119429AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","enfermedad diarreica","OPENMRS","85","OK",""
"digestivo","Parasitosis intestinal mixta","136614AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","parasitosis intraeritrocítica por Entopolypoides","OPENMRS","20","REVISAR","parasitosis intraeritrocítica por Nuttallia (136613AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [20] || parasitosis intraeritrocítica por Entopolypoides (136614AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [20]"
"digestivo","Teniasis / cisticercosis","142986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","cisticercosis","OPENMRS","72","REVISAR","cisticercosis (142986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [72] || Cisticercosis del sistema nerviosa central (155838AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || cisticercosis cerebral (110508AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30]"
"digestivo","Gastroenteritis por rotavirus","117889AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Gastroenteritis","OPENMRS","85","OK",""
"digestivo","Intoxicación alimentaria","156805AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Intoxicación alimentaria infecciosa","OPENMRS","85","OK",""
"digestivo","Hernia inguinal","116954AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hernia inguinal","OPENMRS","100","OK",""
"digestivo","Hernia umbilical","132535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hernia umbilical obstruida","OPENMRS","85","OK",""
"digestivo","Enfermedad inflamatoria intestinal","137197AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","enfermedad inflamatoria intestinal","OPENMRS","100","OK",""
"digestivo","Dispepsia funcional","111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Dispepsia","OPENMRS","85","OK",""
"digestivo","Hemorragia digestiva alta","123569AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","hemorragia digestiva alta","OPENMRS","100","OK",""
"digestivo","Cáncer gástrico","128706AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","neoplasia maligna primaria del estómago","OPENMRS","95","OK","Cancer disease status (163050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || Cancer marker panel (161497AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30] || TNM cancer classification (160817AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [30]"
"osteomuscular","Lumbalgia inespecífica","116225AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","lumbalgia","OPENMRS","85","OK",""
"osteomuscular","Cervicalgia","133469AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Cervicalgia","CATALOGO","100","OK",""
"osteomuscular","Osteoartritis (artrosis)","158133AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","osteoartritis, hombro","OPENMRS","88","OK","Osteoartritis de la muñeca (110505AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || osteoartritis, hombro (158133AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88] || Osteoartritis primaria del codo, localizada (157529AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA) [88]"
"osteomuscular","Artritis reumatoide","127417AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Artritis reumatoide","CATALOGO","100","OK",""
"osteomuscular","Gota","162356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Gota","CATALOGO","100","OK",""
"osteomuscular","Tendinitis","124992AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","Tendinitis","CATALOGO","100","OK",""
