panel_uuid,componente_uuid,nombre,res_min,res_max,res_min_anormal,res_max_anormal,res_trigger,res_trigger_dx
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hemoglobina,12.0,16.5,7.5,10.9,digestivo,121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1226AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|155551AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hematocrito,36.0,48.0,24.0,33.0,digestivo,121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1226AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|155551AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,678AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Leucocitos,4.5,10.9,11.5,18.0,infeccioso|respiratorio,
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Plaquetas,150,450,60,140,infeccioso,61304dd2-7f0c-4933-9f31-c1a909200a71|67acf134-be8a-49ae-b90b-e8bb4a158494
1010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colesterol total,140,199,240,320,cardiovascular|diabetes|endocrino,141623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colesterol HDL,45,75,25,38,cardiovascular|diabetes,141623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colesterol LDL,70,129,160,240,cardiovascular|diabetes|endocrino,141623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1009AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Triglicéridos,60,149,200,500,cardiovascular|diabetes|endocrino,141623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1010AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colesterol VLDL,5,30,35,60,cardiovascular|diabetes,141623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
